               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.025997,             0.13243,           0.0020943,             0.90374,             0.84053,             0.90072,             0.63416,             0.02309,            0.067627,            0.011621,            0.007327,            0.007327,            0.007327
                  83,            0.025861,             0.11624,           0.0019809,             0.89836,             0.87605,              0.9185,             0.63957,            0.023995,            0.067947,           0.0080299,            0.007294,            0.007294,            0.007294
                  84,            0.027298,             0.14938,            0.002836,             0.89949,             0.82727,             0.90466,             0.61328,            0.025577,            0.069252,            0.011488,            0.007261,            0.007261,            0.007261
                  85,            0.027468,              0.1529,           0.0027677,               0.902,             0.85693,             0.90098,             0.63007,             0.02535,            0.067322,           0.0072327,            0.007228,            0.007228,            0.007228
                  86,            0.026303,             0.13266,           0.0023794,             0.86888,              0.8344,             0.88599,             0.60446,            0.024668,              0.0662,            0.012684,            0.007195,            0.007195,            0.007195
                  87,            0.024973,             0.12194,           0.0020674,             0.90592,             0.89261,             0.92304,             0.64302,            0.023427,            0.068222,           0.0089188,            0.007162,            0.007162,            0.007162
                  88,            0.026056,             0.12772,           0.0020399,             0.88728,             0.84492,             0.89498,             0.61005,            0.024272,             0.06958,            0.013868,            0.007129,            0.007129,            0.007129
                  89,            0.026944,             0.13131,           0.0023344,             0.93602,             0.87023,             0.93131,             0.63387,            0.023284,            0.064804,           0.0064678,            0.007096,            0.007096,            0.007096
                  90,            0.027315,             0.14809,           0.0023753,             0.94099,             0.90558,             0.94702,             0.66919,            0.023918,            0.064766,           0.0051231,            0.007063,            0.007063,            0.007063
                  91,            0.026205,             0.13866,           0.0022729,             0.95009,             0.88445,             0.94255,             0.65097,            0.023064,            0.069397,           0.0052881,             0.00703,             0.00703,             0.00703
                  92,             0.02589,             0.13828,           0.0020356,             0.93247,             0.89797,             0.93484,             0.63799,            0.024293,            0.069992,           0.0052376,            0.006997,            0.006997,            0.006997
                  93,            0.025374,             0.14017,           0.0021313,             0.91753,             0.84983,             0.91341,             0.62324,            0.024303,             0.07048,            0.010427,            0.006964,            0.006964,            0.006964
                  94,            0.024473,              0.1061,           0.0018218,             0.90948,             0.86377,             0.90883,             0.62773,            0.023553,            0.069534,           0.0096416,            0.006931,            0.006931,            0.006931
                  95,            0.025475,             0.12908,           0.0020221,             0.89259,             0.90184,             0.93665,             0.64923,            0.024289,            0.067139,           0.0092373,            0.006898,            0.006898,            0.006898
                  96,            0.025356,             0.12908,           0.0020997,             0.91657,             0.89533,             0.94443,             0.64274,             0.02345,            0.066055,           0.0073614,            0.006865,            0.006865,            0.006865
